               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11904,            0.074968,            0.012802,             0.85348,            0.026199,            0.034756,            0.011597,             0.12063,            0.059205,            0.012622,            4.08e-05,            4.08e-05,            0.043241
                   1,            0.099164,            0.068013,            0.012185,             0.44205,              0.1119,            0.058123,            0.025654,             0.09378,            0.060261,            0.012296,          4.5864e-05,          4.5864e-05,            0.036396
